"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
"" "87/86 S 1-2 exp corr"    0.7102529   0.0024    0.7102520   0.0021  28  30
"" "87/86 S 2-3 exp corr"    0.7102578   0.0027    0.7102671   0.0024  29  30
"" "84/86 Dyn exp corr"    0.0566048   0.0716    0.0565880   0.0675  29  30
"" "Stat 87/86 S-1 exp"    0.7099937   0.0032    0.7099807   0.0028  29  30
"" "Stat 87/86 S-2 exp"    0.7107178   0.0030    0.7107287   0.0027  29  30
"" "Stat 87/86 S-3 exp"    0.7108194   0.0321    0.7105198   0.0243  27  30
"" "Stat 84/86 exp corr"    0.0564409   0.0229    0.0564409   0.0229  30  30
"" "Dyn 84/86 power law"    0.0566516   0.0707    0.0566348   0.0664  29  30
"" "Dyn 84/88 power law"    0.0067446   0.0225    0.0067452   0.0213  29  30
"" "87Rb ppm L2-S2"  159.9087850  11.6694  142.0776946  10.4353  28  30
"" "88Sr volts S-3"    3.0566243   1.8834    3.0566243   1.8834  30  30

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.926754E-004 1.502037E-004 3.161430E-004 -4.544258E-004 -3.054142E-004 3.914833E-004 -3.640652E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
4 "86/88 Scan 2"    0.1206687   0.0021    0.1206664   0.0011   9  10
4 "87/86 Avg exp corr"    0.7102305   0.0030    0.7102305   0.0030  10  10
4 "87/86 S 1-2 exp corr"    0.7102185   0.0036    0.7102185   0.0036  10  10
4 "87/86 S 2-3 exp corr"    0.7102425   0.0042    0.7102673   0.0026   9  10
4 "84/86 Dyn exp corr"    0.0564962   0.0355    0.0564962   0.0355  10  10
4 "Stat 87/86 S-1 exp"    0.7099321   0.0050    0.7099321   0.0050  10  10
4 "Stat 87/86 S-2 exp"    0.7106969   0.0053    0.7107258   0.0038   9  10
4 "Stat 87/86 S-3 exp"    0.7100195   0.0041    0.7100195   0.0041  10  10
4 "Stat 84/86 exp corr"    0.0564591   0.0376    0.0564591   0.0376  10  10
4 "Dyn 84/86 power law"    0.0565411   0.0354    0.0565411   0.0354  10  10
4 "Dyn 84/88 power law"    0.0067466   0.0383    0.0067466   0.0383  10  10
4 "87Rb ppm L2-S2"   62.4674134  23.1363   62.4674134  23.1363  10  10
4 "88Sr volts S-3"    3.4669635   0.9901    3.4669635   0.9901  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.206635797E-001  7.101851053E-001  7.100648577E-001  7.103053529E-001  5.651631478E-002  7.097166069E-001  7.107022272E-001  7.099663595E-001  5.650706883E-002  5.657687991E-002  6.754174311E-003  1.359870892E+002  3.302853586E+000
1.206692453E-001  7.102953489E-001  7.102938236E-001  7.102968742E-001  5.650941049E-002  7.099301704E-001  7.108898610E-001  7.099449305E-001  5.647084597E-002  5.656083908E-002  6.748755391E-003  5.948423369E+001  3.340835334E+000
1.206699973E-001  7.102157769E-001  7.101861321E-001  7.102454217E-001  5.660905389E-002  7.098570012E-001  7.106820548E-001  7.100512531E-001  5.657016258E-002  5.664997007E-002  6.759359448E-003  5.124518185E+001  3.375357868E+000
1.206889811E-001  7.101195208E-001  7.102204668E-001  7.100185748E-001  5.653382752E-002  7.101044846E-001  7.104372650E-001  7.099021876E-001  5.648538042E-002  5.656425074E-002  6.747983842E-003  7.330318731E+001  3.416860105E+000
1.206614218E-001  7.102671998E-001  7.102217187E-001  7.103126810E-001  5.653533566E-002  7.099511767E-001  7.107319354E-001  7.100260695E-001  5.651410115E-002  5.658790417E-002  6.754057999E-003  4.575974123E+001  3.451084377E+000
1.206610658E-001  7.103318625E-001  7.103273656E-001  7.103363594E-001  5.651434181E-002  7.100228487E-001  7.107679683E-001  7.101886242E-001  5.646888645E-002  5.655012722E-002  6.746654383E-003  6.560492604E+001  3.488339187E+000
1.206664549E-001  7.101613645E-001  7.101367770E-001  7.101859519E-001  5.647525047E-002  7.098164465E-001  7.106364026E-001  7.100165990E-001  5.643026392E-002  5.651805535E-002  6.742880344E-003  3.537620498E+001  3.522010328E+000
1.206682192E-001  7.102618960E-001  7.102976328E-001  7.102261591E-001  5.638971335E-002  7.100265338E-001  7.107653101E-001  7.099331263E-001  5.635040438E-002  5.643526299E-002  6.733673119E-003  1.329376129E+002  3.555121900E+000
1.206720537E-001  7.102817834E-001  7.102624040E-001  7.103011628E-001  5.641328536E-002  7.099668803E-001  7.107403144E-001  7.101450340E-001  5.636804610E-002  5.645660257E-002  6.735512631E-003 -2.035148580E+001  3.590117218E+000
