"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    7 January 1980"
"Time:                   17:22:19"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0D1.DAT"
"Level: Cycle Data"
"Data Starts Here"
"" "84/86 Dyn exp corr"    0.0564707   0.0182    0.0564628   0.0161  38  40
"" "Stat 87/86 S-1 exp"    0.7100631   0.0027    0.7100497   0.0024  38  40
"" "Stat 87/86 S-2 exp"    0.7106773   0.0020    0.7106717   0.0019  39  40
"" "Stat 87/86 S-3 exp"    0.7100740   0.0025    0.7100874   0.0023  38  40
"" "Stat 84/86 exp corr"    0.0564472   0.0185    0.0564428   0.0157  37  40
"" "Dyn 84/86 power law"    0.0565098   0.0171    0.0565023   0.0151  38  40
"" "Dyn 84/88 power law"    0.0067445   0.0176    0.0067440   0.0150  37  40
"" "87Rb ppm L2-S2"    8.8158706  59.9209    4.2775319 102.7133  38  40
"" "88Sr volts S-3"    2.8732643   0.1458    2.8767725   0.1239  38  40

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.850460E-004 1.490116E-004 3.147125E-004 -4.520416E-004 -3.066063E-004 4.270077E-004 -3.630400E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
5 "86/88 Scan 2"    0.1204500   0.0048    0.1204543   0.0037   9  10
5 "87/86 Avg exp corr"    0.7102701   0.0031    0.7102701   0.0031  10  10
5 "87/86 S 1-2 exp corr"    0.7102642   0.0027    0.7102788   0.0020   9  10
5 "87/86 S 2-3 exp corr"    0.7102759   0.0042    0.7102538   0.0031   9  10
5 "84/86 Dyn exp corr"    0.0564813   0.0401    0.0564813   0.0401  10  10
5 "Stat 87/86 S-1 exp"    0.7100373   0.0053    0.7100701   0.0029   9  10
5 "Stat 87/86 S-2 exp"    0.7106751   0.0048    0.7107006   0.0035   9  10
5 "Stat 87/86 S-3 exp"    0.7100158   0.0056    0.7099844   0.0039   9  10
5 "Stat 84/86 exp corr"    0.0564591   0.0408    0.0564591   0.0408  10  10
5 "Dyn 84/86 power law"    0.0565225   0.0390    0.0565225   0.0390  10  10
5 "Dyn 84/88 power law"    0.0067461   0.0401    0.0067461   0.0401  10  10
5 "87Rb ppm L2-S2"   14.8111253  75.3257   14.8111253  75.3257  10  10
5 "88Sr volts S-3"    2.9109772   0.0917    2.9109772   0.0917  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.204694100E-001  7.101940380E-001  7.101332742E-001  7.102548017E-001  5.650133841E-002  7.097425249E-001  7.106737465E-001  7.099555710E-001  5.648218692E-002  5.653721978E-002  6.748255901E-003  2.219652339E+001  2.900368930E+000
1.204778420E-001  7.102777951E-001  7.103023351E-001  7.102532552E-001  5.653765108E-002  7.100488999E-001  7.106484545E-001  7.100657809E-001  5.650437226E-002  5.656444139E-002  6.749818927E-003  3.145084276E+001  2.898210765E+000
1.204562080E-001  7.103157412E-001  7.103246412E-001  7.103068413E-001  5.636157320E-002  7.100847911E-001  7.107248459E-001  7.100682460E-001  5.633292871E-002  5.639895655E-002  6.730612991E-003 -3.692232186E+001  2.907639982E+000
1.204618288E-001  7.101620009E-001  7.101943788E-001  7.101296230E-001  5.654638422E-002  7.101353710E-001  7.104458359E-001  7.098980402E-001  5.653282769E-002  5.658916953E-002  6.755126968E-003  5.019351684E+001  2.908308746E+000
1.204397364E-001  7.102717150E-001  7.102762502E-001  7.102671797E-001  5.654893169E-002  7.100690348E-001  7.107115894E-001  7.099044377E-001  5.653587199E-002  5.659723078E-002  6.756148695E-003  8.372655855E+001  2.909189225E+000
1.204407931E-001  7.104090245E-001  7.103432661E-001  7.104747828E-001  5.640296669E-002  7.101353030E-001  7.107656130E-001  7.102983359E-001  5.638468991E-002  5.644893176E-002  6.737818426E-003 -5.161800268E+000  2.909856797E+000
